vrsta,staniste,spol,ishrana,dob,zdravlje,duljina,sirina,duljina_repa,masa,brzina_plivanja
Sparus aurata,jug,zenka,skoljkasi,odraslo,naruseno,40.8,21.2,219,56.87,76.87
Sparus aurata,jug,zenka,skoljkasi,odraslo,zdravo,48.7,18.8,252,46.77,66.77
Sparus aurata,jug,zenka,skoljkasi,odraslo,naruseno,50.3,18.5,232,58.19,78.19
Sparus aurata,jug,zenka,skoljkasi,odraslo,naruseno,57.7,20.9,207,57.6,77.6
Sparus aurata,jug,zenka,skoljkasi,subadultno,naruseno,53.4,17.5,212,45.2,65.2
Sparus aurata,jug,zenka,skoljkasi,odraslo,naruseno,57.4,18.7,244,53.56,73.56
Sparus aurata,jug,zenka,skoljkasi,subadultno,naruseno,35.6,16.3,216,46.74,66.74
Sparus aurata,jug,zenka,skoljkasi,subadultno,naruseno,42.4,15.3,213,51.2,71.2
Sparus aurata,jug,zenka,skoljkasi,odraslo,naruseno,53.3,15.9,222,55.13,75.13
Sparus aurata,jug,zenka,skoljkasi,subadultno,naruseno,51.7,19.2,188,49.81,69.81
Sparus aurata,jug,zenka,skoljkasi,odraslo,naruseno,58.9,18.2,234,51.48,71.48
Sparus aurata,jug,zenka,skoljkasi,subadultno,naruseno,44,13.6,231,44.87,64.87
Sparus aurata,jug,zenka,skoljkasi,subadultno,naruseno,39.5,20.6,209,45.53,65.53
Sparus aurata,jug,zenka,skoljkasi,odraslo,naruseno,65.8,19.2,235,55.1,75.1
Sparus aurata,jug,zenka,skoljkasi,subadultno,naruseno,53.1,17,235,51.76,71.76
Sparus aurata,jug,zenka,skoljkasi,subadultno,naruseno,51.8,13.8,209,55.3,75.3
Sparus aurata,jug,zenka,skoljkasi,subadultno,naruseno,36.5,18.2,188,46.57,66.57
Sparus aurata,jug,zenka,skoljkasi,subadultno,naruseno,45.4,15.9,173,45.3,65.3
Sparus aurata,jug,zenka,skoljkasi,subadultno,naruseno,47,15.9,235,52.21,72.21
Sparus aurata,jug,zenka,skoljkasi,odraslo,naruseno,38.3,19.8,249,58.03,78.03
Sparus aurata,jug,zenka,skoljkasi,subadultno,naruseno,46.3,17.2,201,49.08,69.08
Sparus aurata,jug,zenka,skoljkasi,odraslo,naruseno,50.4,17.1,244,53.39,73.39
Sparus aurata,jug,zenka,skoljkasi,subadultno,naruseno,45.2,14.2,229,45.28,65.28
Sparus aurata,jug,zenka,skoljkasi,subadultno,naruseno,48.2,17.3,201,45.8,65.8
Sparus aurata,jug,zenka,skoljkasi,subadultno,naruseno,49.5,17.2,219,45.45,65.45
Sparus aurata,jug,zenka,skoljkasi,subadultno,naruseno,39.5,22.2,186,53.11,73.11
Sparus aurata,jug,zenka,skoljkasi,subadultno,naruseno,51.6,12.5,212,49.76,69.76
Sparus aurata,jug,zenka,skoljkasi,subadultno,naruseno,48.5,17.3,186,50.65,70.65
Sparus aurata,jug,muzjak,skoljkasi,subadultno,naruseno,56.3,14.4,220,60.25,80.25
Sparus aurata,jug,muzjak,skoljkasi,subadultno,naruseno,58.2,17,237,56.82,76.82
Sparus aurata,jug,muzjak,skoljkasi,odraslo,naruseno,64.7,21.4,235,76.87,96.87
Sparus aurata,jug,muzjak,skoljkasi,odraslo,naruseno,63.7,20.7,256,75.43,95.43
Sparus aurata,jug,muzjak,skoljkasi,subadultno,naruseno,46.5,20.8,227,61,81
Sparus aurata,jug,muzjak,skoljkasi,odraslo,naruseno,59.6,22.5,258,63.17,83.17
Sparus aurata,jug,muzjak,skoljkasi,odraslo,naruseno,62.5,19.8,242,81.28,101.28
Sparus aurata,jug,muzjak,skoljkasi,subadultno,naruseno,50.9,18.7,236,57.4,77.4
Sparus aurata,jug,muzjak,skoljkasi,odraslo,naruseno,44.1,20.9,266,75.23,95.23
Sparus aurata,jug,muzjak,skoljkasi,odraslo,naruseno,64,21.5,270,61.12,81.12
Sparus aurata,jug,muzjak,skoljkasi,subadultno,naruseno,62.3,14.8,235,56.95,76.95
Sparus aurata,jug,muzjak,skoljkasi,odraslo,naruseno,53.7,17.9,208,66.55,86.55
Sparus aurata,jug,muzjak,skoljkasi,odraslo,naruseno,69,18.1,268,76.09,96.09
Sparus aurata,jug,muzjak,skoljkasi,subadultno,naruseno,48.6,15.8,240,57.39,77.39
Sparus aurata,jug,muzjak,skoljkasi,subadultno,naruseno,52,15.6,214,70.29,90.29
Sparus aurata,jug,muzjak,skoljkasi,odraslo,naruseno,71.2,16.2,244,61.46,81.46
Sparus aurata,jug,muzjak,skoljkasi,odraslo,zdravo,60.1,21.7,274,57.47,77.47
Sparus aurata,jug,muzjak,skoljkasi,subadultno,naruseno,55,19.9,226,59.14,79.14
Sparus aurata,jug,muzjak,skoljkasi,subadultno,naruseno,51.2,21.2,243,58.86,78.86
Sparus aurata,jug,muzjak,skoljkasi,odraslo,naruseno,49.3,16.9,278,67.77,87.77
Sparus aurata,jug,muzjak,skoljkasi,subadultno,naruseno,44.8,19.5,241,54.1,74.1
Sparus aurata,jug,muzjak,skoljkasi,odraslo,naruseno,54.4,18.8,288,62.92,82.92
Sparus aurata,jug,muzjak,skoljkasi,subadultno,naruseno,41.5,17.4,251,61.93,81.93
Sparus aurata,jug,muzjak,skoljkasi,subadultno,zdravo,53,19.6,217,50.41,70.41
Sparus aurata,jug,muzjak,skoljkasi,subadultno,naruseno,59.6,17.2,244,65.61,85.61
Sparus aurata,jug,muzjak,skoljkasi,subadultno,naruseno,55.9,18.7,217,58.62,78.62
Sparus aurata,jug,muzjak,skoljkasi,subadultno,naruseno,56.3,18.5,211,54.16,74.16
Sparus aurata,jug,zenka,kril,subadultno,pothranjeno,35.5,18.8,190,36.77,56.77
Sparus aurata,jug,zenka,kril,subadultno,naruseno,28.7,14.2,185,44.81,64.81
Sparus aurata,jug,zenka,kril,subadultno,naruseno,25.4,16.6,161,47.45,67.45
Sparus aurata,jug,muzjak,kril,odraslo,zdravo,30.4,19.1,209,57.96,77.96
Sparus aurata,jug,muzjak,kril,subadultno,pothranjeno,33,15.7,205,35.8,55.8
Sparus aurata,jug,zenka,kril,subadultno,pothranjeno,26.5,15.5,179,36.56,56.56
Sparus aurata,jug,zenka,kril,subadultno,pothranjeno,23.9,19.1,175,36.88,56.88
Sparus aurata,jug,zenka,kril,subadultno,zdravo,31.3,18.2,171,42.64,62.64
Sparus aurata,jug,zenka,kril,odraslo,naruseno,26.2,19.4,188,50.9,70.9
