vrsta,otok,spol,prehrana,dob,zdravlje,godina,oklop_duljina,oklop_sirina,peraja_duljina,masa,vrijeme_zarona
glavata zelva,Mljet,zenka,riba,odrasla,ozlijedjena,2024,40.8,21.2,219,5687,76.87
glavata zelva,Mljet,zenka,riba,odrasla,zdrava,2024,48.7,18.8,252,4677,66.77
glavata zelva,Mljet,zenka,riba,odrasla,ozlijedjena,2024,50.3,18.5,232,5819,78.19
glavata zelva,Mljet,zenka,riba,odrasla,ozlijedjena,2024,57.7,20.9,207,5760,77.6
glavata zelva,Mljet,zenka,riba,subadultna,ozlijedjena,2024,53.4,17.5,212,4520,65.2
glavata zelva,Mljet,zenka,riba,odrasla,ozlijedjena,2024,57.4,18.7,244,5356,73.56
glavata zelva,Mljet,zenka,riba,subadultna,ozlijedjena,2024,35.6,16.3,216,4674,66.74
glavata zelva,Mljet,zenka,riba,subadultna,ozlijedjena,2024,42.4,15.3,213,5120,71.2
glavata zelva,Mljet,zenka,riba,odrasla,ozlijedjena,2024,53.3,15.9,222,5513,75.13
glavata zelva,Mljet,zenka,riba,subadultna,ozlijedjena,2024,51.7,19.2,188,4981,69.81
glavata zelva,Mljet,zenka,riba,odrasla,ozlijedjena,2024,58.9,18.2,234,5148,71.48
glavata zelva,Mljet,zenka,riba,subadultna,ozlijedjena,2024,44,13.6,231,4487,64.87
glavata zelva,Mljet,zenka,riba,subadultna,ozlijedjena,2024,39.5,20.6,209,4553,65.53
glavata zelva,Mljet,zenka,riba,odrasla,ozlijedjena,2024,65.8,19.2,235,5510,75.1
glavata zelva,Mljet,zenka,riba,subadultna,ozlijedjena,2024,53.1,17,235,5176,71.76
glavata zelva,Mljet,zenka,riba,subadultna,ozlijedjena,2024,51.8,13.8,209,5530,75.3
glavata zelva,Mljet,zenka,riba,subadultna,ozlijedjena,2024,36.5,18.2,188,4657,66.57
glavata zelva,Mljet,zenka,riba,subadultna,ozlijedjena,2024,45.4,15.9,173,4530,65.3
glavata zelva,Mljet,zenka,riba,subadultna,ozlijedjena,2024,47,15.9,235,5221,72.21
glavata zelva,Mljet,zenka,riba,odrasla,ozlijedjena,2024,38.3,19.8,249,5803,78.03
glavata zelva,Mljet,zenka,riba,subadultna,ozlijedjena,2024,46.3,17.2,201,4908,69.08
glavata zelva,Mljet,zenka,riba,odrasla,ozlijedjena,2024,50.4,17.1,244,5339,73.39
glavata zelva,Mljet,zenka,riba,subadultna,ozlijedjena,2024,45.2,14.2,229,4528,65.28
glavata zelva,Mljet,zenka,riba,subadultna,ozlijedjena,2024,48.2,17.3,201,4580,65.8
glavata zelva,Mljet,zenka,riba,subadultna,ozlijedjena,2024,49.5,17.2,219,4545,65.45
glavata zelva,Mljet,zenka,riba,subadultna,ozlijedjena,2024,39.5,22.2,186,5311,73.11
glavata zelva,Mljet,zenka,riba,subadultna,ozlijedjena,2024,51.6,12.5,212,4976,69.76
glavata zelva,Mljet,zenka,riba,subadultna,ozlijedjena,2024,48.5,17.3,186,5065,70.65
glavata zelva,Mljet,muzjak,riba,subadultna,ozlijedjena,2024,56.3,14.4,220,6025,80.25
glavata zelva,Mljet,muzjak,riba,subadultna,ozlijedjena,2024,58.2,17,237,5682,76.82
glavata zelva,Mljet,muzjak,riba,odrasla,ozlijedjena,2024,64.7,21.4,235,7687,96.87
glavata zelva,Mljet,muzjak,riba,odrasla,ozlijedjena,2024,63.7,20.7,256,7543,95.43
glavata zelva,Mljet,muzjak,riba,subadultna,ozlijedjena,2024,46.5,20.8,227,6100,81
glavata zelva,Mljet,muzjak,riba,odrasla,ozlijedjena,2024,59.6,22.5,258,6317,83.17
glavata zelva,Mljet,muzjak,riba,odrasla,ozlijedjena,2024,62.5,19.8,242,8128,101.28
glavata zelva,Mljet,muzjak,riba,subadultna,ozlijedjena,2024,50.9,18.7,236,5740,77.4
glavata zelva,Mljet,muzjak,riba,odrasla,ozlijedjena,2024,44.1,20.9,266,7523,95.23
glavata zelva,Mljet,muzjak,riba,odrasla,ozlijedjena,2024,64,21.5,270,6112,81.12
glavata zelva,Mljet,muzjak,riba,subadultna,ozlijedjena,2024,62.3,14.8,235,5695,76.95
glavata zelva,Mljet,muzjak,riba,odrasla,ozlijedjena,2024,53.7,17.9,208,6655,86.55
glavata zelva,Mljet,muzjak,riba,odrasla,ozlijedjena,2024,69,18.1,268,7609,96.09
glavata zelva,Mljet,muzjak,riba,subadultna,ozlijedjena,2024,48.6,15.8,240,5739,77.39
glavata zelva,Mljet,muzjak,riba,subadultna,ozlijedjena,2024,52,15.6,214,7029,90.29
glavata zelva,Mljet,muzjak,riba,odrasla,ozlijedjena,2024,71.2,16.2,244,6146,81.46
glavata zelva,Mljet,muzjak,riba,odrasla,zdrava,2024,60.1,21.7,274,5747,77.47
glavata zelva,Mljet,muzjak,riba,subadultna,ozlijedjena,2024,55,19.9,226,5914,79.14
glavata zelva,Mljet,muzjak,riba,subadultna,ozlijedjena,2024,51.2,21.2,243,5886,78.86
glavata zelva,Mljet,muzjak,riba,odrasla,ozlijedjena,2024,49.3,16.9,278,6777,87.77
glavata zelva,Mljet,muzjak,riba,subadultna,ozlijedjena,2024,44.8,19.5,241,5410,74.1
glavata zelva,Mljet,muzjak,riba,odrasla,ozlijedjena,2024,54.4,18.8,288,6292,82.92
glavata zelva,Mljet,muzjak,riba,subadultna,ozlijedjena,2024,41.5,17.4,251,6193,81.93
glavata zelva,Mljet,muzjak,riba,subadultna,zdrava,2024,53,19.6,217,5041,70.41
glavata zelva,Mljet,muzjak,riba,subadultna,ozlijedjena,2024,59.6,17.2,244,6561,85.61
glavata zelva,Mljet,muzjak,riba,subadultna,ozlijedjena,2024,55.9,18.7,217,5862,78.62
glavata zelva,Mljet,muzjak,riba,subadultna,ozlijedjena,2024,56.3,18.5,211,5416,74.16
glavata zelva,Mljet,zenka,kril,subadultna,pothranjena,2024,35.5,18.8,190,3677,56.77
glavata zelva,Mljet,zenka,kril,subadultna,ozlijedjena,2024,28.7,14.2,185,4481,64.81
glavata zelva,Mljet,zenka,kril,subadultna,ozlijedjena,2024,25.4,16.6,161,4745,67.45
glavata zelva,Mljet,muzjak,kril,odrasla,zdrava,2024,30.4,19.1,209,5796,77.96
glavata zelva,Mljet,muzjak,kril,subadultna,pothranjena,2024,33,15.7,205,3580,55.8
glavata zelva,Mljet,zenka,kril,subadultna,pothranjena,2024,26.5,15.5,179,3656,56.56
glavata zelva,Mljet,zenka,kril,subadultna,pothranjena,2024,23.9,19.1,175,3688,56.88
glavata zelva,Mljet,zenka,kril,subadultna,zdrava,2024,31.3,18.2,171,4264,62.64
glavata zelva,Mljet,zenka,kril,odrasla,ozlijedjena,2024,26.2,19.4,188,5090,70.9
glavata zelva,Mljet,zenka,kril,subadultna,ozlijedjena,2024,24.1,17.5,207,4517,65.17
glavata zelva,Mljet,zenka,kril,subadultna,pothranjena,2024,29,13.3,175,3500,55
glavata zelva,Mljet,zenka,kril,odrasla,zdrava,2024,35.7,18,186,4701,67.01
glavata zelva,Mljet,zenka,kril,subadultna,pothranjena,2024,22.8,23.5,195,3156,51.56
glavata zelva,Mljet,zenka,kril,subadultna,pothranjena,2024,21.8,17.4,165,3636,56.36
glavata zelva,Mljet,zenka,kril,subadultna,zdrava,2024,21.7,17.8,189,4058,60.58
glavata zelva,Mljet,zenka,kril,odrasla,zdrava,2024,27,15.2,188,4762,67.62
glavata zelva,Mljet,zenka,kril,subadultna,pothranjena,2024,27.1,16.5,167,3424,54.24
glavata zelva,Mljet,zenka,kril,odrasla,zdrava,2024,30.1,18.3,201,4530,65.3
glavata zelva,Mljet,zenka,kril,subadultna,pothranjena,2024,30.9,15.5,170,3010,50.1
glavata zelva,Mljet,zenka,kril,subadultna,zdrava,2024,24.3,18.1,174,4034,60.34
glavata zelva,Mljet,zenka,kril,odrasla,zdrava,2024,24.5,18.1,201,4441,64.41
glavata zelva,Mljet,zenka,kril,subadultna,zdrava,2024,23.1,15.6,188,4272,62.72
